fund_long_name,initial_investment,fund_category,management_name
Dodge & Cox Income Fund,250000,Short-Term Bond,Adam S. Rubinson
Jackson Square Select 20 Growth Fund IS Class,250000,China Region,Greg S. Chory
Macquarie Pooled Trust High Yield Bond Portfolio,250000,Small Growth,Adam H. Brown
BNY Mellon Connecticut Fund Class Z,250000,Small Value,Jeffrey Burger
BNY Mellon Structured Midcap Fund Class C,250000,Multisector Bond,Syed T. Zamil
Dearborn Partners Rising Dividend Fund Class C Shares,250000,Foreign Large Blend,Carol M. Lippman
DFA World Core Equity Portfolio Institutional Class,250000,Technology,Jed S. Fogdall
BNY Mellon Alternative Diversifier Strategies Fund - Class C,250000,Large Value,Caroline M. Lee-Tsao
Aquila Three Peaks Opportunity Growth Fund Class C,250000,Allocation--85%+ Equity,Sandy Rufenacht
American Century Ginnie Mae Fund Investor Class,250000,Large Value,Peter Van Gelderen
"Cohen & Steers Global Infrastructure Fund, Inc. Class C",250000,World Bond,Robert Becker
Columbia Select Large Cap Value Fund Institutional Class,250000,,Richard S. Taft
BNY Mellon Emerging Markets Securities Fund Class I,250000,High Yield Bond,Julianne D. McHugh
BNY Mellon Global Real Return Fund - Class Y,250000,Large Value,Suzanne Hutchins
BNY Mellon Sustainable U.S. Equity Fund Class Z,250000,Mid-Cap Value,Jeff Munroe
DFA LTIP Portfolio Institutional Class,250000,Foreign Large Value,David A. Plecha
DFA Social Fixed Income Portfolio Institutional Class,250000,Small Value,David A. Plecha
BNY Mellon Select Managers Small Cap Growth Fund Class A,250000,Foreign Small/Mid Value,Valerie B. Klaiman
Delaware Small Cap Growth Fund Class A,250000,Small Value,W. Alexander L. Ely
Eaton Vance Stock Fund Class A,250000,Allocation--50% to 70% Equity,Charles B. Gaffney
Eaton Vance Floating-Rate Advantage Fund Class A,250000,Small Value,Craig P. Russ
American Funds Emerging Markets Bond Fund Class F-3,250000,Large Value,Luis H. Freitas de Oliveira
Eaton Vance Arizona Municipal Income Fund Class C,250000,Diversified Emerging Mkts,Craig Brandon
Eaton Vance Balanced Fund Class C,250000,Bank Loan,Charles B. Gaffney
Eaton Vance Tax-Managed Small-Cap Fund Class C,250000,World Bond,Michael D. McLean
MFS Emerging Markets Equity Research Fund A,250000,Allocation--30% to 50% Equity,Sanjay Natarajan
Wells Fargo Large Cap Core Fund - Class C,250000,High Yield Bond,John R. Campbell
Eaton Vance Large-Cap Value Fund Class A,250000,Foreign Large Blend,Edward J. Perkin
Eaton Vance Arizona Municipal Income Fund Class I,250000,Intermediate Core-Plus Bond,Craig Brandon
Eaton Vance Greater China Growth Fund Class I,250000,Foreign Large Blend,June Lui
Eaton Vance Focused Value Opportunities Fund Class I,250000,World Allocation,Aaron S. Dunn
Eaton Vance Core Bond Fund Institutional Class,250000,Miscellaneous Region,Vishal S. Khanduja
Eaton Vance Balanced Fund Class I,250000,Short-Term Bond,Charles B. Gaffney
Eaton Vance Global Bond Fund Class I,250000,Nontraditional Bond,Kyle Lee
Parametric TABS 10-to-20 Year Laddered Municipal Bond Fund Class I,250000,Mid-Cap Value,James H. Evans
Wells Fargo Adjustable Rate Government Fund - Class Admin,250000,Target-Date 2025,Christopher Y. Kauffman
Ashmore Emerging Markets Equity ESG Fund Class A,250000,Target-Date 2030,Patrick Cadell
Eaton Vance Floating Rate Fund Class R6,250000,Target-Date 2035,Craig P. Russ
Ashmore Emerging Markets Equity ESG Fund Class C,250000,Target-Date 2040,Patrick Cadell
Ashmore Emerging Markets Small Cap Equity Fund Institutional Class,250000,Target-Date 2045,Dhiren Shah
Ashmore Emerging Markets Short Duration Select Fund Class A,250000,Target-Date 2050,Robin Forrest
Eaton Vance Atlanta Capital Select Equity Fund Class C,250000,Target-Date 2055,William O. Bell
Parametric TABS Intermediate-Term Municipal Bond Fund Class I,250000,Target-Date Retirement,James H. Evans
Fulcrum Diversified Absolute Return Fund Institutional Class,250000,Multistrategy,Andrew Stevens
American Funds 2045 Target Date Retirement Fund Class F-1,250000,Real Estate,Wesley K.-S. Phoa
Fidelity Advisor Value Fund Class A,250000,,Matthew Friedman
Fidelity Advisor Equity Value Fund Class M,250000,World Bond,Sean Gavin
Fidelity Capital Appreciation Fund Class K,250000,Intermediate Core Bond,Jason Weiner
Fidelity Advisor Corporate Bond Fund Class A,250000,Muni California Long,David Prothro
Franklin California Intermediate-Term Tax-Free Income Fund Class A,250000,Small Blend,Michael J. Conn
Fidelity Series Growth Company Fund,250000,Macro Trading,Steven S. Wymer
Fidelity Advisor China Region Fund Class C,250000,Large Value,Stephen Lieu
Fidelity Advisor California Municipal Income Fund Class M,250000,Macro Trading,Elizah McLaughlin
Franklin Colorado Tax Free Income Fund Class A,250000,Tactical Allocation,Michael J. Conn
Fidelity Conservative Income Municipal Bond Fund,250000,Foreign Large Value,Douglas McGinley
Fidelity Advisor Small Cap Value Fund Class I,250000,Infrastructure,Derek Janssen
Fidelity Advisor Consumer Staples Fund Class A,250000,Diversified Emerging Mkts,Ben Shuleva
Nuveen Connecticut Municipal Bond Fund Class C,250000,Large Blend,Michael S. Hamilton
Fidelity Advisor Freedom 2065 Fund Class M,250000,Diversified Emerging Mkts,Andrew F. Dierdorf
Fidelity Advisor Dividend Growth Fund Class M,250000,Large Blend,Zachary Turner
Fidelity Freedom 2060 Fund,250000,World Large-Stock Blend,Andrew F. Dierdorf
Fidelity Advisor Communications Equipment Fund Class I,250000,Financial,Caroline Tall
Fidelity Advisor Communications Equipment Fund Class M,250000,Bank Loan,Caroline Tall
FidelityAdvisor Emerging Markets Fund Class I,250000,World Large-Stock Blend,John Dance
Fidelity Education Income Fund,250000,Intermediate Government,Robert Galusza
First Eagle High Income Fund Class R6,250000,World Large-Stock Blend,Edward B. Meigs
FidelityAdvisor Emerging Markets Fund,250000,,John Dance
Fidelity Series Emerging Markets Opportunities Fund,250000,Tactical Allocation,Xiaoting Zhao
FidelityAdvisor Emerging Markets Fund Class M,250000,Intermediate Core-Plus Bond,John Dance
American Funds EuroPacific Growth Fund Class F-3,250000,Large Blend,Noriko B. Chen
First Eagle U.S. Value Fund Class C,250000,Large Growth,Matthew McLennan
Franklin Global Allocation Fund Class R,250000,Target-Date 2040,Edward Perks
Fidelity Advisor Freedom 2005 Fund Class A,250000,Target-Date 2015,Andrew F. Dierdorf
First Foundation Fixed Income Class A,250000,Target-Date 2030,Calvin Jones
American Funds Corporate Bond Fund Class 529-F-2,250000,Target-Date 2000-2010,Scott Sykes
Fidelity Freedom Blend Income Fund Premier Class,250000,Target-Date 2035,Andrew F. Dierdorf
Fidelity Freedom Blend 2005 Premier Class,250000,Target-Date 2025,Andrew F. Dierdorf
Emerald Banking and Finance Fund Investor Class,250000,Target-Date 2045,Kenneth G. Mertz
American Funds Global Balanced Fund Class 529-F-3,250000,Target-Date 2050,David M. Riley
Fidelity Freedom Blend 2010 Premier Class,250000,Target-Date 2055,Andrew F. Dierdorf
Fidelity Freedom Blend 2015 Premier Class,250000,Target-Date 2020,Andrew F. Dierdorf
Fidelity Freedom Blend 2025 Premier Class,250000,Small Growth,Andrew F. Dierdorf
Fidelity Freedom Blend 2065 Premier Class,250000,High Yield Muni,Andrew F. Dierdorf
Nuveen Dividend Value Fund Class R6,250000,Allocation--15% to 30% Equity,David Chalupnik
AB FlexFee Large Cap Growth Portfolio Advisor Class,250000,Foreign Large Growth,Vinay V. Thapar
Franklin Focused Growth Fund Class Advisor,250000,Multisector Bond,Matthew J. Moberg
Fidelity Growth Company Fund Class K,250000,Large Growth,Steven S. Wymer
Fidelity Advisor Growth & Income Fund Class Z,250000,Large Blend,Matthew W. Fruhan
Fidelity GNMA Fund,250000,Multisector Bond,Franco Castagliuolo
Fidelity Government Income Fund,250000,Target-Date 2060+,Sean Corcoran
Federated Hermes MDT Mid Cap Growth Fund Institutional Shares,250000,Mid-Cap Value,Damien Zhang
Franklin Growth Series Class R,250000,Emerging Markets Bond,Robert Rendler
Fidelity Freedom Blend 2010 Fund Class K,250000,Mid-Cap Value,Andrew F. Dierdorf
Fidelity Freedom Blend 2055 Fund Class K,250000,Financial,Andrew F. Dierdorf
Fidelity Advisor Mid Cap II Fund Class I,250000,Small Value,Thomas Allen
Delaware Global Equity Fund Class A,250000,Foreign Small/Mid Blend,Klaus Saustrup Petersen
Fidelity Advisor Freedom 2045 Fund Class Z,250000,Long-Short Equity,Andrew F. Dierdorf
Fidelity Advisor Short Duration High Income Fund Class Z,250000,Large Growth,Kevin Nielsen
Fidelity Advisor Corporate Bond Fund Class Z,250000,Small Value,David Prothro
Fidelity Advisor Asset Manager 20% Fund Class Z,250000,Small Growth,Geoffrey D. Stein
Fidelity SAI International Index Fund,250000,Short-Term Bond,Deane Gyllenhaal
Fidelity Managed Retirement Income Fund,250000,Multisector Bond,Andrew F. Dierdorf
Fidelity Flex Freedom Blend 2010 Fund,250000,Allocation--85%+ Equity,Andrew F. Dierdorf
Franklin Income Fund Class R,250000,Muni National Long,Edward Perks
Delaware Special Situations Fund Class A,250000,Allocation--50% to 70% Equity,Kelley McKee Carabasi
Fidelity SAI International SMA Completion Fund,250000,Allocation--70% to 85% Equity,Timothy Gannon
Franklin Federal Intermediate-Term Tax-Free Income Fund Class R6,250000,World Large-Stock Blend,Daniel Patrick Workman
Fidelity Telecom and Utilities Fund,250000,Allocation--30% to 50% Equity,Douglas Simmons
Delaware Opportunity Fund Class A,250000,Allocation--15% to 30% Equity,Kelley McKee Carabasi
Fidelity Advisor International Value Fund Class M,250000,Foreign Large Blend,Alexander Zavratsky
Franklin K2 Long Short Credit Fund Class R,250000,Large Value,Robert Christian
Fidelity Mid-Cap Stock Fund Class K,250000,Mid-Cap Value,John D. Roth
Franklin Massachusetts Tax-Free Income Fund Class R6,250000,High Yield Bond,Michael J. Conn
Nuveen Kentucky Municipal Bond Fund Class C2,250000,Infrastructure,Daniel J. Close
American Century Equity Income Fund I Class,250000,Intermediate Government,Phillip Davidson
Absolute Capital Defender Fund Institutional Class,250000,Muni National Short,Phillip Brenden Gebben
Lisanti Small Cap Growth Fund,250000,Intermediate Core Bond,Mary Lisanti
The Water Island Long/Short Fund Class I,250000,Mid-Cap Blend,Eric S. Becker
AB Select US Equity Portfolio Advisor Class,250000,Large Value,Kurt Feuerman
Brandes Global Equity Fund Class A,250000,World Bond,Brent Fredberg
William Blair Emerging Markets Growth Fund Class R6,250000,Diversified Emerging Mkts,Vivian Thurston
ProFunds Banks UltraSector Fund Service Class,250000,Large Blend,Michael Neches
American Funds Capital World Bond Fund Class 529-E,250000,Small Blend,Thomas HÃ¸gh
American Funds New World Fund Class 529-C,250000,Foreign Small/Mid Blend,Robert Lovelace
Columbia New York Intermediate Municipal Bond Fund Institutional 2 Class,250000,,Paul F. Fuchs
American Funds College 2036 Fund Class 529-F-3,250000,Mid-Cap Growth,Wesley K.-S. Phoa
DWS Global Macro Fund - Class C,250000,Small Growth,Henning Potstada
DFA Asia Pacific Small Company Portfolio Institutional Class,250000,Energy Limited Partnership,Jed S. Fogdall
MFS Global Alternative Strategy Fund Class R2,250000,Allocation--50% to 70% Equity,Benjamin R. Nastou
Ashmore Emerging Markets Equity ESG Fund Class A,250000,World Large-Stock Blend,Patrick Cadell
Fidelity Advisor Global Equity Income Fund Class A,250000,Large Growth,Ramona Persaud
Fidelity Advisor Freedom Blend 2055 Fund Class Z6,250000,Ultrashort Bond,Andrew F. Dierdorf
Federated Hermes Institutional High Yield Bond Fund Class R6,250000,Large Blend,Mark E. Durbiano
Fidelity Advisor Materials Fund Class Z,250000,Intermediate Core Bond,Jody Simes
Fidelity Advisor Freedom 2025 Fund Class Z,250000,Large Blend,Andrew F. Dierdorf
Fidelity Advisor Freedom 2045 Fund Class Z,250000,,Andrew F. Dierdorf
Fidelity Advisor Freedom 2055 Fund Class Z,250000,High Yield Bond,Andrew F. Dierdorf
Fidelity Advisor Short Duration High Income Fund Class Z,250000,Large Blend,Kevin Nielsen
Fidelity Advisor Real Estate Income Fund Class Z,250000,Small Blend,William Maclay
Fidelity Advisor Limited Term Bond Fund Class Z,250000,World Large-Stock Blend,Robert Galusza
AB Income Fund Class Z,250000,Small Blend,Scott A. DiMaggio
Invesco High Yield Municipal Fund Class R6,250000,Small Blend,Julius Williams
American Century Disciplined Growth Fund Class R,250000,Diversified Emerging Mkts,Tsuyoshi Ozaki
American Century Emerging Markets Debt Fund I Class,250000,Diversified Emerging Mkts,Alessandra Alecci
Applied Finance Explorer Fund Investor Shares,250000,Small Growth,Paul Blinn
Applied Finance Explorer Fund Institutional Shares,250000,Small Growth,Paul Blinn
Alger Responsible Investing Fund Class C,250000,,Gregory S. Adams
Cavanal Hill Active Core Fund Institutional Class,250000,Foreign Large Growth,Brandon C. Barnes
Alger Mid Cap Growth Fund Class Z,250000,Small Value,Daniel C. Chung
American Beacon Mid-Cap Value Fund R6 Class,250000,Diversified Emerging Mkts,John Arthur Carr
American Century NT International Small-Mid Cap Fund Investor Class,250000,Diversified Emerging Mkts,Trevor D. Gurwich
American Century Investments One Choice Portfolio: Very Aggressive R Class,250000,Small Value,Radu L. Gabudean
Appleseed Fund Institutional Share,250000,Mid-Cap Growth,Shaun Roach
American Century Investments One Choice 2065 Portfolio R Class,250000,Diversified Emerging Mkts,John Donner
American Century Value Fund Y Class,250000,Short-Term Bond,Kevin N. Toney
AB Wealth Appreciation Strategy Class A,250000,Small Growth,Nelson Yu
CIBC Atlas Mid Cap Equity Fund Institutional Class,250000,Diversified Emerging Mkts,Frederick L. Weiss
AB Sustainable International Thematic Fund Advisor Class,250000,Large Growth,William Johnston
Invesco Global Core Equity Fund ClassR,250000,Small Blend,Michael Hatcher
American Century High-Yield Municipal Fund Y Class,250000,Foreign Small/Mid Value,Alan M. Kruss
Aquila Tax-Free Trust of Arizona Class A,250000,Intermediate Core Bond,Anthony Tanner
BlackRock Global Long/Short Credit Fund Investor C Shares,250000,Mid-Cap Growth,Joshua Tarnow
BlackRock Systematic ESG Bond Fund Investor A,250000,Mid-Cap Value,Scott Radell
Sterling Capital Total Return Bond Fund Class A,250000,High Yield Bond,Mark M. Montgomery
BlackRock U.S. Government Bond Portfolio Investor C Shares,250000,Large Value,Matthew Kraeger
BlackRock International Dividend Fund Class K,250000,Large Blend,Andrew Wheatley-Hubbard
AMG Boston Common Global Impact Fund - Class I,250000,Bank Loan,Matthew Zalosh
Barings Global Credit Income Opportunities Fund Class Y,250000,Relative Value Arbitrage,Martin Horne
Calvert Balanced Fund Class I,250000,Small Growth,Vishal S. Khanduja
Wells Fargo C&B Large Cap Value Fund - Class A,250000,Long-Term Bond,Steve James Lyons
Calvert Mid-Cap Fund Class A,250000,Allocation--50% to 70% Equity,Charles B. Gaffney
American Funds Conservative Growth and Income Portfolio Class 529-C,250000,Small Blend,Michelle J. Black
AdvisorOne CLS Global Aggressive Equity Fund Class N,250000,Multisector Bond,Michael Hadden
Invesco Core Plus Bond Fund Class Y,250000,Intermediate Core Bond,Todd Schomberg
Columbia Small Cap Value Fund II Institutional 3 Class,250000,Mid-Cap Growth,Christian K. Stadlinger
Carillon Scout Small Cap Fund Class A,250000,Foreign Large Blend,James R. McBride
BNY Mellon AMT-Free Municipal Bond Fund - Class I,250000,Large Growth,Daniel C. Rabasco
Davis Real Estate Fund Class C,250000,Multisector Bond,Chandler Adams Spears
DoubleLine Shiller Enhanced CAPE Class N,250000,Emerging Markets Bond,Jeffrey J. Sherman
American Funds Developing World Growth and Income Fund Class F-1,250000,Large Value,F. Chapman Taylor
BNY Mellon International Small Cap Fund Class C,250000,Corporate Bond,Chris Yao
Eaton Vance Floating-Rate Advantage Fund Class R6,250000,Target-Date 2060+,Craig P. Russ
Wells Fargo Diversified Capital Builder Fund - Class A,250000,,Margaret D. Patel
MFS Emerging Markets Debt Local Currency Fund Class R3,250000,Large Value,Ward W. Brown
Ashmore Emerging Markets Active Equity Fund Class A,250000,World Allocation,Fernando Assad
"Emerging Markets Growth Fund, Inc. Class M",250000,World Allocation,Victor D. Kohn
Shelton Emerging Markets Fund Institutional Shares,250000,Mid-Cap Blend,Andrew Manton
Cullen Enhanced Equity Income Fund Class I,250000,Small Blend,Jennifer P. Chang
Evermore Global Value Fund Investor Class,250000,Large Value,David Marcus
Nuveen Dividend Value Fund Class I,250000,Muni Single State Interm,David Chalupnik
Fidelity Advisor Strategic Dividend & Income Fund Class A,250000,Intermediate Core-Plus Bond,Adam E. Kramer
Nuveen Mid Cap Value Fund Class A,250000,Foreign Small/Mid Growth,Karen L. Bowie
Fidelity Advisor Freedom 2035 Fund Class A,250000,High Yield Bond,Andrew F. Dierdorf
Fidelity Advisor Technology Fund Class I,250000,,Adam Benjamin
Frost Total Return Bond Fund Investor Class,250000,Large Blend,Jeffery Elswick
Fidelity Advisor Freedom 2025 Fund Class A,250000,Multisector Bond,Andrew F. Dierdorf
American Funds 2040 Target Date Retirement Fund Class F-1,250000,Small Growth,Wesley K.-S. Phoa
Fidelity Advisor Equity Value Fund Class C,250000,Muni National Interm,Sean Gavin
Fidelity Advisor Freedom Blend 2065 Fund Class C,250000,Large Growth,Andrew F. Dierdorf
Fidelity Advisor Freedom Blend 2065 Fund Class Z,250000,Large Value,Andrew F. Dierdorf
Nuveen Arizona Municipal Bond Fund Class A,250000,Foreign Large Blend,Michael S. Hamilton
Fidelity Advisor Stock Selector Small Cap Fund Class M,250000,Small Growth,Morgen Peck
Franklin International Core Equity (IU) Fund Advisor,250000,Small Blend,Todd Brighton
BNY Mellon Dynamic Total Return Fund Class C,150000,World Allocation,Vassilis Dagioglu
Sterling Capital Special Opportunities Fund Class C,150000,World Allocation,Daniel A Morrall
Beacon Planned Return Strategy Fund Institutional Class,150000,Allocation--30% to 50% Equity,Erman Civelek
Columbia Acorn International Fund Class R,150000,Allocation--15% to 30% Equity,Tae Han (Simon) F. Kim
American Beacon AHL TargetRisk Core Fund Y Class,100000,World Allocation,Otto van Hemert
Absolute Capital Asset Allocator Fund Institutional Class,100000,Tactical Allocation,Phillip Brenden Gebben
American Beacon The London Company Income Equity Fund Y Class,100000,Large Value,Stephen Goddard
American Beacon International Equity Fund Class Y,100000,Foreign Large Value,Alvin L. Polit
American Beacon Large Cap Value Fund Class Y,100000,Large Value,George Davis
AMG River Road Mid Cap Value Fund - Class I,100000,Mid-Cap Value,R. Andrew W. Beck
ABR 50/50 Volatility Fund Institutional Shares,100000,Long-Short Equity,Taylor Lukof
ABR Dynamic Blend Equity & Volatility Fund Institutional Shares,100000,Long-Short Equity,Taylor Lukof
American Beacon Small Cap Value Fund Class Y,100000,Small Value,Judd S. Peters
American Beacon Balanced Fund Class Y,100000,Allocation--50% to 70% Equity,Erin H. Higginbotham
Water Island Credit Opportunities Fund Class I,100000,Nontraditional Bond,Gregory A. Loprete
Absolute Capital Defender Fund Institutional Class,100000,Tactical Allocation,Phillip Brenden Gebben
American Beacon Mid-Cap Value Fund Class Y,100000,Mid-Cap Value,John Arthur Carr
AMG GW&K Small/Mid Cap Growth Fund – I,100000,Small Growth,Daniel L. Miller
AMG Beutel Goodman Core Plus Bond Fund - Class I,100000,Intermediate Core-Plus Bond,David J. Gregoris
American Beacon ARK Transformational Innovation Fund Y Class,100000,Mid-Cap Growth,Catherine D. Wood
Vaughan Nelson International Small Cap Fund Class I,100000,Foreign Small/Mid Blend,Kevin A. Ross
Vaughan Nelson Emerging Markets Opportunities Fund Institutional Class,100000,Diversified Emerging Mkts,Kevin A. Ross
Water Island Event-Driven Fund Class I,100000,Event Driven,Todd W. Munn
Acadian Emerging Markets Portfolio Class Y,100000,Diversified Emerging Mkts,Brendan O. Bradley
AMG River Road Focused Absolute Value Fund Class I,100000,Mid-Cap Blend,R. Andrew S. Beck
Anfield Universal Fixed Income Fund Class I,100000,Nontraditional Bond,David Young
Acuitas US Microcap Fund Institutional Shares,100000,Small Blend,Todd Wolter
American Beacon Frontier Markets Income Fund Y Class,100000,Emerging Markets Bond,Sofus Asboe
American Beacon AHL Managed Futures Strategy Fund Y Class,100000,Systematic Trend,Otto van Hemert
American Beacon AHL TargetRisk Fund Y Class,100000,Tactical Allocation,Otto van Hemert
ALPS/Smith Balanced Opportunity Fund Class I,100000,Allocation--50% to 70% Equity,Eric Hewitt
AMG River Road International Value Equity Fund Class I,100000,Long-Short Equity,Matthew W. Moran
Amana Mutual Funds Trust Developing World Fund Institutional,100000,Diversified Emerging Mkts,Monem A. Salam
Amana Mutual Funds Trust Growth Fund Institutional,100000,Large Growth,Scott F. Klimo
Amana Mutual Funds Trust Income Fund Institutional,100000,Large Blend,Monem A. Salam
Amana Participation Fund Institutional Shares,100000,Emerging Markets Bond,Patrick T. Drum
AMG Beutel Goodman International Equity Fund - Class I,100000,Foreign Large Blend,Stanley Wu
Appleseed Fund Institutional Share,100000,World Allocation,Shaun Roach
The Arbitrage Fund Class Institutional,100000,Event Driven,Todd W. Munn
AMG River Road Dividend All Cap Value Fund Class I,100000,Large Value,Thomas S. Forsha
AMG River Road Small-Mid Cap Value Fund Class I,100000,Small Blend,J. Justin Akin
AMG River Road Small Cap Value Fund Class I,100000,Small Blend,J. Justin Akin
Nuveen Small Cap Select Fund Class I,100000,Small Blend,Gregory J. Ryan
AlphaSimplex Managed Futures Strategy Fund Class Y,100000,Systematic Trend,Philippe P. LÃ¼di
The Water Island Long/Short Fund Class I,100000,Long-Short Equity,Eric S. Becker
Athena Behavioral Tactical Fund Class I,100000,Tactical Allocation,C. Thomas C. Howard
American Beacon Zebra Small Cap Equity Fund Y Class,100000,Small Blend,Roger Ibbotson
Blue Current Global Dividend Fund Institutional Class,100000,World Large-Stock Blend,Harry M. T. Jones
Brandes Core Plus Fixed Income Fund Class I,100000,Intermediate Core-Plus Bond,Timothy M. Doyle
Franklin Mutual Beacon Fund Class Z,100000,,Aman Gupta
Boston Partners Emerging Markets Dynamic Equity Fund Institutional Class,100000,Long-Short Equity,David Kim
Brandes Emerging Markets Value Fund Class I,100000,Diversified Emerging Mkts,Mauricio Abadia
Boston Partners Global Long/Short Fund Institutional Class,100000,Long-Short Equity,Christopher K. Hart
Brandes International Equity Fund Class I,100000,Foreign Large Value,Brent Woods
DoubleLine Infrastructure Income Fund Class I,100000,Intermediate Core-Plus Bond,Damien Contes
Brandes International Small Cap Equity Fund Class I,100000,Foreign Small/Mid Value,Bryan Barrett
American Beacon Bridgeway Large Cap Growth Fund Y Class,100000,Large Growth,John Montgomery
Boston Trust Walden Small Cap Fund,100000,Small Blend,Kenneth P. Scott
Boston Partners All Cap Value Fund Institutional Class,100000,Large Value,Duilio R. Ramallo
Boston Partners Global Equity Advantage Fund Institutional Class,100000,,Christopher K. Hart
Boston Partners Emerging Markets Fund Institutional Class,100000,Diversified Emerging Mkts,David Kim
Boston Partners Global Equity Institutional Class,100000,,Christopher K. Hart
Boston Partners Long/Short Research Fund Institutional Class,100000,Long-Short Equity,Eric S. Connerly
Boston Partners Long/Short Equity Fund Institutional Class,100000,Long-Short Equity,Robert Jones
Boston Partners Small Cap Value Fund II Institutional Class,100000,Small Value,David Dabora
Bright Rock Quality Large Cap Fund Institutional Class,100000,Large Blend,Douglas S. Butler
Bright Rock Mid Cap Growth Fund Institutional Class,100000,Mid-Cap Growth,Douglas S. Butler
Bramshill Income Performance Fund Institutional Class,100000,Nontraditional Bond,Art DeGaetano
Brandes Small Cap Value Fund Class I,100000,Small Value,Bryan Barrett
Boston Trust Asset Management Fund,100000,Allocation--70% to 85% Equity,Amy T. Crandall Kaser
Boston Trust Equity Fund,100000,Large Blend,Amy T. Crandall Kaser
BTS Tactical Fixed Income Fund Class I,100000,Nontraditional Bond,Isaac Braley
Boston Trust Midcap Fund,100000,Mid-Cap Blend,Stephen J. Amyouny
BTS Managed Income Fund Class I Shares,100000,Nontraditional Bond,Vilis Pasts
CBOE Vest S&P 500 Buffer Strategy Fund Class Institutional Shares,100000,Options Trading,Howard Rubin
Main BuyWrite Fund Class I Shares,100000,Derivative Income,Kim D. Arthur
Becker Value Equity Fund Institutional Class,100000,Large Value,Sid Parakh
Boyd Watterson Limited Duration Enhanced Income Fund Class I,100000,Multisector Bond,Brian L. Convery
American Beacon Bridgeway Large Cap Value Fund Y Class,100000,Large Value,John Montgomery
Barings Active Short Duration Bond Fund Class Y,100000,Short-Term Bond,Douglas M. Trevallion
Barings Emerging Markets Debt Blended Total Return Fund Class Y,100000,Emerging Markets Bond,Natalia Krol
Barings Global Floating Rate Fund Class Y,100000,Bank Loan,Chris Sawyer
Barings U.S. High Yield Fund Class Y,100000,High Yield Bond,Scott D. Roth
Barings Global Credit Income Opportunities Fund Class Y,100000,High Yield Bond,Martin Horne
Barings Global Emerging Markets Equity Fund Class Y,100000,Diversified Emerging Mkts,Isabelle Irish
Barings Diversified Income Fund Class Y,100000,Nontraditional Bond,Kathleen Kraez
Cambiar International Small Cap Fund Institutional Class,100000,Foreign Small/Mid Blend,Todd L. Edwards
Chiron Capital Allocation Fund Class I,100000,World Allocation,Ryan F. Caldwell
American Beacon Continuous Capital Emerging Markets Fund Y Class,100000,Diversified Emerging Mkts,Morley D. Campbell
Calvert International Responsible Index Fund Class I,100000,Foreign Large Blend,Thomas C. Seto
Calvert US Large Cap Value Responsible Index Fund Class I,100000,Large Value,Thomas C. Seto
Calvert US Large Cap Growth Responsible Index Fund Class I,100000,Large Growth,Thomas C. Seto
Columbia High Yield Municipal Fund Institutional 2 Class,100000,High Yield Muni,Douglas J. White
Clough China Fund Class I,100000,China Region,Anupam I. Bose
Calvert US Large Cap Core Responsible Index Fund Class I,100000,Large Blend,Thomas C. Seto
Clifford Capital Partners Fund Institutional Class,100000,Mid-Cap Value,Ryan P. Batchelor
Virtus Seix Short-Term Municipal Bond Fund Class I,100000,Muni National Short,Dusty H. Self
Calvert US Mid Cap Core Responsible Index Fund Class I,100000,Mid-Cap Blend,Thomas C. Seto
AXS Market Neutral Fund Institutional Class,100000,Equity Market Neutral,Jonathan C. Angrist
AXS Alternative Value Fund Institutional Class,100000,Large Value,Jonathan C. Angrist
SEI Institutional Managed Trust Conservative Income Fund Class F,100000,Ultrashort Bond,Edward C. Ingold
SEI Institutional Managed Trust Conservative Income Fund Class Y,100000,Ultrashort Bond,Edward C. Ingold
Columbia U.S. Social Bond Fund Institutional 2 Class,100000,Muni National Long,Kimberly Campbell
Counterpoint Tactical Equity Fund Class I,100000,Long-Short Equity,Michael Krause
Counterpoint Tactical Income Fund Class I,100000,Nontraditional Bond,Michael Krause
"Cohen & Steers Preferred Securities and Income Fund, Inc. Class I",100000,Preferred Stock,Elaine F. Zaharis-Nikas
CCM Community Impact Bond Fund Institutional Shares,100000,Intermediate Government,Elliot Gilfarb
CRM Long/Short Opportunities Fund Institutional Shares,100000,Long-Short Equity,Madeleine (Mimi) B. Morris
"Cohen & Steers Real Estate Securities Fund, Inc. Class Institutional",100000,Real Estate,Jason Yablon
"Cohen & Steers Global Realty Shares, Inc. Class I",100000,Global Real Estate,Rogier Quirijns
"Cohen & Steers Global Infrastructure Fund, Inc. Class I",100000,Infrastructure,Robert Becker
DoubleLine Strategic Commodity Fund Class I,100000,Commodities Broad Basket,Samuel Lau
DoubleLine Emerging Markets Local Currency Bond Fund Class I,100000,Emerging-Markets Local-Currency Bond,Mark W. Christensen
DoubleLine Floating Rate Fund Class I Shares,100000,Bank Loan,Robert L. Cohen
DoubleLine Long Duration Total Return Bond Fund Class I,100000,Long Government,Vitaliy E. Liberman
DoubleLine Emerging Markets Fixed Income Fund Class I,100000,Emerging Markets Bond,Luz M. Padilla
DoubleLine Core Fixed Income Fund Class I,100000,Intermediate Core-Plus Bond,Jeffrey J. Sherman
DoubleLine Global Bond Fund Class I,100000,World Bond,William E. Campbell
DoubleLine Income Fund Class I,100000,Multisector Bond,Andrew Hsu
